"","time","country","province","cum_confirm","cum_heal","cum_dead"
"114","2020-03-18","United Kingdom","Scotland",153,0,1
"115","2020-03-18","United Kingdom","Wales",124,0,0
"116","2020-03-18","United Kingdom","Northern Ireland",52,0,0
"117","2020-03-19","United Kingdom","England",2182,0,48
"118","2020-03-19","United Kingdom","Scotland",227,0,1
"119","2020-03-19","United Kingdom","Wales",149,0,0
"120","2020-03-19","United Kingdom","Northern Ireland",68,0,0
"121","2020-03-20","United Kingdom","England",2756,0,128
"122","2020-03-20","United Kingdom","Scotland",266,0,6
"123","2020-03-20","United Kingdom","Wales",170,0,2
"124","2020-03-20","United Kingdom","Northern Ireland",77,0,1
"125","2020-03-21","United Kingdom","England",3384,0,128
"126","2020-03-21","United Kingdom","Scotland",322,0,6
"127","2020-03-21","United Kingdom","Wales",191,0,3
"128","2020-03-21","United Kingdom","Northern Ireland",86,0,1
"129","2020-03-22","United Kingdom","England",4257,0,181
"130","2020-03-22","United Kingdom","Scotland",373,0,7
"131","2020-03-22","United Kingdom","Wales",280,0,5
"132","2020-03-22","United Kingdom","Northern Ireland",108,0,1
"133","2020-03-23","United Kingdom","England",4792,0,181
"134","2020-03-23","United Kingdom","Scotland",416,0,7
"135","2020-03-23","United Kingdom","Wales",347,0,5
"136","2020-03-23","United Kingdom","Northern Ireland",128,0,1
"137","2020-03-24","United Kingdom","England",6483,0,386
"138","2020-03-24","United Kingdom","Scotland",584,0,16
"139","2020-03-24","United Kingdom","Wales",478,0,17
"140","2020-03-24","United Kingdom","Northern Ireland",172,0,3
"141","2020-03-16","United Kingdom","England",0,0,0
"142","2020-03-16","United Kingdom","Scotland",0,0,0
"143","2020-03-16","United Kingdom","Wales",0,0,0
"144","2020-03-16","United Kingdom","Northern Ireland",0,0,0
"145","2020-03-17","United Kingdom","England",0,0,0
"146","2020-03-17","United Kingdom","Scotland",0,0,0
"147","2020-03-17","United Kingdom","Wales",0,0,0
"148","2020-03-17","United Kingdom","Northern Ireland",0,0,0
"149","2020-03-18","United Kingdom","England",1196,0,48
"150","2020-03-18","United Kingdom","Scotland",153,0,1
"151","2020-03-18","United Kingdom","Wales",124,0,0
"152","2020-03-18","United Kingdom","Northern Ireland",52,0,0
"153","2020-03-19","United Kingdom","England",2182,0,48
"154","2020-03-19","United Kingdom","Scotland",227,0,1
"155","2020-03-19","United Kingdom","Wales",149,0,0
"156","2020-03-19","United Kingdom","Northern Ireland",68,0,0
"157","2020-03-20","United Kingdom","England",2756,0,128
"158","2020-03-20","United Kingdom","Scotland",266,0,6
"159","2020-03-20","United Kingdom","Wales",170,0,2
"160","2020-03-20","United Kingdom","Northern Ireland",77,0,1
"161","2020-03-21","United Kingdom","England",3384,0,128
"162","2020-03-21","United Kingdom","Scotland",322,0,6
"163","2020-03-21","United Kingdom","Wales",191,0,3
"164","2020-03-21","United Kingdom","Northern Ireland",86,0,1
"165","2020-03-22","United Kingdom","England",4257,0,181
"166","2020-03-22","United Kingdom","Scotland",373,0,7
"167","2020-03-22","United Kingdom","Wales",280,0,5
"168","2020-03-22","United Kingdom","Northern Ireland",108,0,1
"169","2020-03-23","United Kingdom","England",4792,0,181
"170","2020-03-23","United Kingdom","Scotland",416,0,7
"171","2020-03-23","United Kingdom","Wales",347,0,5
"172","2020-03-23","United Kingdom","Northern Ireland",128,0,1
"173","2020-03-24","United Kingdom","England",6483,0,386
"174","2020-03-24","United Kingdom","Scotland",584,0,16
"175","2020-03-24","United Kingdom","Wales",478,0,17
"176","2020-03-24","United Kingdom","Northern Ireland",172,0,3
"177","2020-03-25","United Kingdom","England",7973,0,414
"178","2020-03-25","United Kingdom","Scotland",719,0,22
"179","2020-03-25","United Kingdom","Wales",628,0,22
"180","2020-03-25","United Kingdom","Northern Ireland",209,0,5
"181","2020-03-16","United Kingdom","England",0,0,0
"182","2020-03-16","United Kingdom","Scotland",0,0,0
"183","2020-03-16","United Kingdom","Wales",0,0,0
"184","2020-03-16","United Kingdom","Northern Ireland",0,0,0
"185","2020-03-17","United Kingdom","England",0,0,0
"186","2020-03-17","United Kingdom","Scotland",0,0,0
"187","2020-03-17","United Kingdom","Wales",0,0,0
"188","2020-03-17","United Kingdom","Northern Ireland",0,0,0
"189","2020-03-18","United Kingdom","England",1196,0,48
"190","2020-03-18","United Kingdom","Scotland",153,0,1
"191","2020-03-18","United Kingdom","Wales",124,0,0
"192","2020-03-18","United Kingdom","Northern Ireland",52,0,0
"193","2020-03-19","United Kingdom","England",2182,0,48
"194","2020-03-19","United Kingdom","Scotland",227,0,1
"195","2020-03-19","United Kingdom","Wales",149,0,0
"196","2020-03-19","United Kingdom","Northern Ireland",68,0,0
"197","2020-03-20","United Kingdom","England",2756,0,128
"198","2020-03-20","United Kingdom","Scotland",266,0,6
"199","2020-03-20","United Kingdom","Wales",170,0,2
"200","2020-03-20","United Kingdom","Northern Ireland",77,0,1
"201","2020-03-21","United Kingdom","England",3384,0,128
"202","2020-03-21","United Kingdom","Scotland",322,0,6
"203","2020-03-21","United Kingdom","Wales",191,0,3
"204","2020-03-21","United Kingdom","Northern Ireland",86,0,1
"205","2020-03-22","United Kingdom","England",4257,0,181
"206","2020-03-22","United Kingdom","Scotland",373,0,7
"207","2020-03-22","United Kingdom","Wales",280,0,5
"208","2020-03-22","United Kingdom","Northern Ireland",108,0,1
"209","2020-03-23","United Kingdom","England",4792,0,181
"210","2020-03-23","United Kingdom","Scotland",416,0,7
"211","2020-03-23","United Kingdom","Wales",347,0,5
"212","2020-03-23","United Kingdom","Northern Ireland",128,0,1
"213","2020-03-24","United Kingdom","England",6483,0,386
"214","2020-03-24","United Kingdom","Scotland",584,0,16
"215","2020-03-24","United Kingdom","Wales",478,0,17
"216","2020-03-24","United Kingdom","Northern Ireland",172,0,3
"217","2020-03-25","United Kingdom","England",7973,0,414
"218","2020-03-25","United Kingdom","Scotland",719,0,22
"219","2020-03-25","United Kingdom","Wales",628,0,22
"220","2020-03-25","United Kingdom","Northern Ireland",209,0,5
"221","2020-03-26","United Kingdom","England",7973,0,414
"222","2020-03-26","United Kingdom","Scotland",719,0,22
"223","2020-03-26","United Kingdom","Wales",628,0,22
"224","2020-03-26","United Kingdom","Northern Ireland",209,0,5
"225","2020-03-16","United Kingdom","England",0,0,0
"226","2020-03-16","United Kingdom","Scotland",0,0,0
"227","2020-03-16","United Kingdom","Wales",0,0,0
"228","2020-03-16","United Kingdom","Northern Ireland",0,0,0
"229","2020-03-17","United Kingdom","England",0,0,0
"230","2020-03-17","United Kingdom","Scotland",0,0,0
"231","2020-03-17","United Kingdom","Wales",0,0,0
"232","2020-03-17","United Kingdom","Northern Ireland",0,0,0
"233","2020-03-18","United Kingdom","England",1196,0,48
"234","2020-03-18","United Kingdom","Scotland",153,0,1
"235","2020-03-18","United Kingdom","Wales",124,0,0
"236","2020-03-18","United Kingdom","Northern Ireland",52,0,0
"237","2020-03-19","United Kingdom","England",2182,0,48
"238","2020-03-19","United Kingdom","Scotland",227,0,1
"239","2020-03-19","United Kingdom","Wales",149,0,0
"240","2020-03-19","United Kingdom","Northern Ireland",68,0,0
"241","2020-03-20","United Kingdom","England",2756,0,128
"242","2020-03-20","United Kingdom","Scotland",266,0,6
"243","2020-03-20","United Kingdom","Wales",170,0,2
"244","2020-03-20","United Kingdom","Northern Ireland",77,0,1
"245","2020-03-21","United Kingdom","England",3384,0,128
"246","2020-03-21","United Kingdom","Scotland",322,0,6
"247","2020-03-21","United Kingdom","Wales",191,0,3
"248","2020-03-21","United Kingdom","Northern Ireland",86,0,1
"249","2020-03-22","United Kingdom","England",4257,0,181
"250","2020-03-22","United Kingdom","Scotland",373,0,7
"251","2020-03-22","United Kingdom","Wales",280,0,5
"252","2020-03-22","United Kingdom","Northern Ireland",108,0,1
"253","2020-03-23","United Kingdom","England",4792,0,181
"254","2020-03-23","United Kingdom","Scotland",416,0,7
"255","2020-03-23","United Kingdom","Wales",347,0,5
"256","2020-03-23","United Kingdom","Northern Ireland",128,0,1
"257","2020-03-24","United Kingdom","England",6483,0,386
"258","2020-03-24","United Kingdom","Scotland",584,0,16
"259","2020-03-24","United Kingdom","Wales",478,0,17
"260","2020-03-24","United Kingdom","Northern Ireland",172,0,3
"261","2020-03-25","United Kingdom","England",7973,0,414
"262","2020-03-25","United Kingdom","Scotland",719,0,22
"263","2020-03-25","United Kingdom","Wales",628,0,22
"264","2020-03-25","United Kingdom","Northern Ireland",209,0,5
"265","2020-03-26","United Kingdom","England",7973,0,414
"266","2020-03-26","United Kingdom","Scotland",719,0,22
"267","2020-03-26","United Kingdom","Wales",628,0,22
"268","2020-03-26","United Kingdom","Northern Ireland",209,0,5
"269","2020-03-27","United Kingdom","England",9782,0,521
"270","2020-03-27","United Kingdom","Scotland",894,0,25
"271","2020-03-27","United Kingdom","Wales",741,0,28
