time,country,province,city,cum_confirm,cum_heal,cum_dead
1/22/20,China,Shanxi,Taiyuan,1,0,0
1/22/20,China,Guangdong,Guangzhou,5,0,0
1/22/20,China,Guangdong,Shaoguan,2,0,0
1/22/20,China,Guangdong,Shenzhen,15,0,0
1/22/20,China,Guangdong,Zhuhai,4,0,0
1/22/20,China,Guangdong,Foshan,1,0,0
1/22/20,China,Guangdong,Zhanjiang,2,0,0
1/22/20,China,Guangdong,Zhaoqing,1,0,0
1/22/20,China,Guangdong,Huizhou,1,0,0
1/22/20,China,Guangdong,Zhongshan,1,0,0
1/22/20,China,Guangxi,Wuzhou,1,0,0
1/22/20,China,Guangxi,Beihai,1,0,0
1/22/20,China,Jiangsu,Suzhou,1,0,0
1/22/20,China,Jiangxi,Nanchang,1,0,0
1/22/20,China,Jiangxi,Pingxiang,1,0,0
1/22/20,China,Jiangxi,Fuzhou,1,0,0
1/22/20,China,Hebei,Shijiazhuang,1,0,0
1/22/20,China,Henan,Zhengzhou,2,0,0
1/22/20,China,Henan,Gongyi,1,0,0
1/22/20,China,Henan,Luoyang,1,0,0
1/22/20,China,Henan,Sanmenxia,1,0,0
1/22/20,China,Zhejiang,Hangzhou,1,0,0
1/22/20,China,Zhejiang,Ningbo,3,0,0
1/22/20,China,Zhejiang,Wenzhou,4,0,0
1/22/20,China,Zhejiang,Zhoushan,1,0,0
1/22/20,China,Zhejiang,Taizhou,1,0,0
1/22/20,China,Hubei,Wuhan,425,28,17
1/22/20,China,Hubei,Huanggang,12,0,0
1/22/20,China,Hubei,Jingzhou,6,0,0
1/22/20,China,Hubei,Jingmen,1,0,0
1/22/20,China,Hunan,Changsha,1,0,0
1/22/20,China,Hunan,Huaihua,3,0,0
1/22/20,China,Fujian,Fuzhou,1,0,0
1/22/20,China,Guizhou,Guiyang,1,0,0
1/22/20,China,Guizhou,Tongren,1,0,0
1/22/20,China,Guizhou,Qiannan Prefecture,1,0,0
1/22/20,China,Liaoning,Shenyang,1,0,0
1/22/20,China,Liaoning,Dalian,1,0,0
1/22/20,China,Chongqing,Wanzhou District,2,0,0
1/22/20,China,Chongqing,Fuling District,1,0,0
1/22/20,China,Chongqing,Changshou District,1,0,0
1/22/20,China,Chongqing,Yongchuan District,2,0,0
1/22/20,China,Chongqing,Dianjiang County,1,0,0
1/22/20,China,Chongqing,Wushan County,2,0,0
1/22/20,China,Shaanxi,Xi'an,2,0,0
1/22/20,China,Shaanxi,Xianyang,1,0,0
1/22/20,China,Shaanxi,Yan'an,1,0,0
1/22/20,China,Heilongjiang,Mudanjiang,1,0,0
1/23/20,China,Inner Mongolia,Xilingol League,0,0,0
1/23/20,China,Gansu,Baiyin,0,0,0
1/23/20,China,Yunnan,Kunming,2,0,0
1/23/20,China,Inner Mongolia,Hulunbuir,1,0,0
1/23/20,China,Beijing,Foreign to Beijing,6,0,0
1/23/20,China,Beijing,Xicheng,3,0,0
1/23/20,China,Beijing,Chaoyang,2,0,0
1/23/20,China,Beijing,Fengtai,1,0,0
1/23/20,China,Beijing,Shijingshan,1,0,0
1/23/20,China,Beijing,Haidian,3,0,0
1/23/20,China,Beijing,Tongzhou,2,0,0
1/23/20,China,Beijing,Changping,2,0,0
1/23/20,China,Beijing,Daxing,2,0,0
1/23/20,China,Jilin,Changchun,1,0,0
1/23/20,China,Jilin,Jilin,1,0,0
1/23/20,China,Jilin,Songyuan,1,0,0
1/23/20,China,Sichuan,Chengdu,7,0,0
1/23/20,China,Sichuan,Deyang,1,0,0
1/23/20,China,Sichuan,Mianyang,2,0,0
1/23/20,China,Sichuan,Suining,1,0,0
1/23/20,China,Sichuan,Guang'an,2,0,0
1/23/20,China,Sichuan,Dazhou,1,0,0
1/23/20,China,Sichuan,Ya'an,1,0,0
1/23/20,China,Ningxia,Yinchuan,1,0,0
1/23/20,China,Ningxia,Zhongwei,1,0,0
1/23/20,China,Anhui,Hefei,6,0,0
1/23/20,China,Anhui,Bengbu,1,0,0
1/23/20,China,Anhui,Anqing,1,0,0
1/23/20,China,Anhui,Chuzhou,1,0,0
1/23/20,China,Anhui,Fuyang,2,0,0
1/23/20,China,Anhui,Lu'an,2,0,0
1/23/20,China,Anhui,Bozhou,1,0,0
1/23/20,China,Anhui,Chizhou,1,0,0
1/23/20,China,Shandong,Qingdao,3,0,0
1/23/20,China,Shandong,Weifang,1,0,0
1/23/20,China,Shandong,Weihai,2,0,0
1/23/20,China,Shandong,Rizhao,1,0,0
1/23/20,China,Shandong,Linyi,2,0,0
1/23/20,China,Shanxi,Taiyuan,1,0,0
1/23/20,China,Guangdong,Guangzhou,7,0,0
1/23/20,China,Guangdong,Shaoguan,3,0,0
1/23/20,China,Guangdong,Shenzhen,15,2,0
1/23/20,China,Guangdong,Zhuhai,8,0,0
1/23/20,China,Guangdong,Foshan,6,0,0
1/23/20,China,Guangdong,Zhanjiang,2,0,0
1/23/20,China,Guangdong,Zhaoqing,1,0,0
1/23/20,China,Guangdong,Huizhou,5,0,0
1/23/20,China,Guangdong,Yangjiang,3,0,0
