"","time","country","cum_confirm","cum_heal","cum_dead"
"162","2020-01-30","China",9692,171,213
"163","2020-01-31","United Arab Emirates",4,0,0
"164","2020-01-31","Australia",8,2,0
"165","2020-01-31","Germany",4,0,0
"166","2020-01-31","France",5,0,0
"167","2020-01-31","Philippines",1,0,0
"168","2020-01-31","Finland",1,0,0
"169","2020-01-31","South Korea",6,0,0
"170","2020-01-31","Canada",3,0,0
"171","2020-01-31","Malaysia",8,0,0
"172","2020-01-31","United States",5,0,0
"173","2020-01-31","Nepal",1,0,0
"174","2020-01-31","Japan",17,1,0
"175","2020-01-31","Sri Lanka",1,0,0
"176","2020-01-31","Thailand",14,2,0
"177","2020-01-31","Singapore",10,0,0
"178","2020-01-31","India",1,0,0
"179","2020-01-31","Vietnam",2,0,0
"180","2020-01-31","China",11791,243,259
"181","2020-02-01","United Arab Emirates",4,0,0
"182","2020-02-01","Australia",8,2,0
"183","2020-02-01","Germany",4,0,0
"184","2020-02-01","France",5,0,0
"185","2020-02-01","Philippines",1,0,0
"186","2020-02-01","Finland",1,0,0
"187","2020-02-01","South Korea",6,0,0
"188","2020-02-01","Canada",3,0,0
"189","2020-02-01","Malaysia",8,0,0
"190","2020-02-01","United States",5,0,0
"191","2020-02-01","Nepal",1,0,0
"192","2020-02-01","Japan",20,1,0
"193","2020-02-01","Sri Lanka",1,0,0
"194","2020-02-01","Thailand",14,2,0
"195","2020-02-01","Singapore",10,0,0
"196","2020-02-01","India",1,0,0
"197","2020-02-01","Vietnam",2,0,0
"198","2020-02-01","China",14380,328,304
"199","2020-02-02","United Arab Emirates",4,0,0
"200","2020-02-02","Australia",8,2,0
"201","2020-02-02","Germany",4,0,0
"202","2020-02-02","France",5,0,0
"203","2020-02-02","Philippines",1,0,0
"204","2020-02-02","Finland",1,0,0
"205","2020-02-02","South Korea",6,0,0
"206","2020-02-02","Canada",3,0,0
"207","2020-02-02","Malaysia",8,0,0
"208","2020-02-02","United States",5,0,0
"209","2020-02-02","Nepal",1,0,0
"210","2020-02-02","Sri Lanka",1,0,0
"211","2020-02-02","Thailand",14,2,0
"212","2020-02-02","Singapore",10,0,0
"213","2020-02-02","India",1,0,0
"214","2020-02-02","Vietnam",2,0,0
"215","2020-02-02","China",17205,475,361
"216","2020-02-03","United Arab Emirates",4,0,0
"217","2020-02-03","Australia",8,2,0
"218","2020-02-03","Germany",4,0,0
"219","2020-02-03","France",5,0,0
"220","2020-02-03","Philippines",1,0,0
"221","2020-02-03","Finland",1,0,0
"222","2020-02-03","South Korea",6,0,0
"223","2020-02-03","Canada",3,0,0
"224","2020-02-03","Malaysia",8,0,0
"225","2020-02-03","United States",5,0,0
"226","2020-02-03","Nepal",1,0,0
"227","2020-02-03","Sri Lanka",1,0,0
"228","2020-02-03","Thailand",14,2,0
"229","2020-02-03","Singapore",10,0,0
"230","2020-02-03","India",1,0,0
"231","2020-02-03","Vietnam",2,0,0
"232","2020-02-03","China",20438,632,425
"233","2020-02-04","Japan",23,1,0
"234","2020-02-04","China",24324,892,490
"235","2020-02-05","Japan",23,1,0
"236","2020-02-05","China",28018,1153,563
"237","2020-02-06","United Arab Emirates",5,0,0
"238","2020-02-06","Australia",14,3,0
"239","2020-02-06","Belgium",1,0,0
"240","2020-02-06","Germany",12,0,0
"241","2020-02-06","Russia",2,0,0
"242","2020-02-06","France",6,0,0
"243","2020-02-06","Philippines",3,0,1
"244","2020-02-06","Finland",1,0,0
"245","2020-02-06","South Korea",24,1,0
"246","2020-02-06","Canada",5,1,0
"247","2020-02-06","Cambodia",1,0,0
"248","2020-02-06","Malaysia",14,1,0
"249","2020-02-06","United States",12,1,0
"250","2020-02-06","Nepal",1,0,0
"251","2020-02-06","Japan",25,1,0
"252","2020-02-06","Sweden",1,0,0
"253","2020-02-06","Sri Lanka",1,1,0
"254","2020-02-06","Thailand",25,8,0
"255","2020-02-06","Spain",1,0,0
"256","2020-02-06","Singapore",28,1,0
"257","2020-02-06","Italy",2,0,0
"258","2020-02-06","India",3,0,0
"259","2020-02-06","United Kingdom",2,0,0
"260","2020-02-06","Vietnam",10,3,0
"261","2020-02-06","China",31161,1540,636
"262","2020-02-07","United Arab Emirates",5,0,0
"263","2020-02-07","Australia",15,3,0
"264","2020-02-07","Belgium",1,0,0
"265","2020-02-07","Germany",13,0,0
"266","2020-02-07","Russia",2,0,0
"267","2020-02-07","France",6,0,0
"268","2020-02-07","Philippines",3,0,1
"269","2020-02-07","Finland",1,0,0
"270","2020-02-07","South Korea",24,1,0
"271","2020-02-07","Canada",5,1,0
"272","2020-02-07","Cambodia",1,0,0
"273","2020-02-07","Malaysia",14,1,0
"274","2020-02-07","United States",12,1,0
"275","2020-02-07","Nepal",1,0,0
"276","2020-02-07","Japan",25,1,0
"277","2020-02-07","Sweden",1,0,0
"278","2020-02-07","Sri Lanka",1,1,0
"279","2020-02-07","Thailand",25,8,0
"280","2020-02-07","Spain",1,0,0
"281","2020-02-07","Singapore",33,2,0
"282","2020-02-07","Italy",3,0,0
"283","2020-02-07","India",3,0,0
"284","2020-02-07","United Kingdom",3,0,0
"285","2020-02-07","Vietnam",12,3,0
"286","2020-02-07","China",34594,2052,723
"287","2020-02-08","United Arab Emirates",7,0,0
"288","2020-02-08","Australia",15,3,0
"289","2020-02-08","Belgium",1,0,0
"290","2020-02-08","Germany",13,0,0
"291","2020-02-08","Russia",2,0,0
"292","2020-02-08","France",11,0,0
"293","2020-02-08","Philippines",3,0,1
"294","2020-02-08","Finland",1,1,0
"295","2020-02-08","South Korea",24,2,0
"296","2020-02-08","Canada",5,1,0
"297","2020-02-08","Cambodia",1,0,0
"298","2020-02-08","Malaysia",16,2,0
"299","2020-02-08","United States",12,3,0
"300","2020-02-08","Nepal",1,0,0
"301","2020-02-08","Japan",25,1,0
"302","2020-02-08","Sweden",1,0,0
"303","2020-02-08","Sri Lanka",1,1,0
"304","2020-02-08","Thailand",32,8,0
"305","2020-02-08","Spain",1,0,0
"306","2020-02-08","Singapore",33,2,0
"307","2020-02-08","Italy",3,0,0
"308","2020-02-08","India",3,0,0
"309","2020-02-08","United Kingdom",3,0,0
"310","2020-02-08","Vietnam",13,3,0
"311","2020-02-08","China",37162,2651,812
"312","2020-02-09","United Arab Emirates",7,0,0
"313","2020-02-09","Australia",15,3,0
"314","2020-02-09","Belgium",1,0,0
"315","2020-02-09","Germany",14,0,0
"316","2020-02-09","Russia",2,0,0
"317","2020-02-09","France",11,0,0
"318","2020-02-09","Philippines",3,0,1
"319","2020-02-09","Finland",1,1,0
"320","2020-02-09","South Korea",27,3,0
"321","2020-02-09","Canada",7,1,0
"322","2020-02-09","Cambodia",1,0,0
"323","2020-02-09","Malaysia",17,2,0
"324","2020-02-09","United States",12,3,0
"325","2020-02-09","Nepal",1,0,0
"326","2020-02-09","Japan",26,1,0
"327","2020-02-09","Sweden",1,0,0
"328","2020-02-09","Sri Lanka",1,1,0
"329","2020-02-09","Thailand",32,8,0
"330","2020-02-09","Spain",2,0,0
"331","2020-02-09","Singapore",43,2,0
"332","2020-02-09","Italy",3,0,0
"333","2020-02-09","India",3,0,0
"334","2020-02-09","United Kingdom",4,0,0
"335","2020-02-09","Vietnam",14,3,0
"336","2020-02-09","China",40224,3283,909
"337","2020-02-10","United Arab Emirates",7,0,0
"338","2020-02-10","Australia",15,3,0
"339","2020-02-10","Belgium",1,0,0
"340","2020-02-10","Germany",14,0,0
"341","2020-02-10","Russia",2,0,0
"342","2020-02-10","France",11,0,0
"343","2020-02-10","Philippines",3,1,1
"344","2020-02-10","Finland",1,1,0
"345","2020-02-10","South Korea",27,3,0
"346","2020-02-10","Canada",7,1,0
"347","2020-02-10","Cambodia",1,0,0
"348","2020-02-10","Malaysia",18,2,0
"349","2020-02-10","United States",12,3,0
"350","2020-02-10","Nepal",1,0,0
"351","2020-02-10","Japan",26,2,0
"352","2020-02-10","Sweden",1,0,0
"353","2020-02-10","Sri Lanka",1,1,0
"354","2020-02-10","Thailand",32,8,0
"355","2020-02-10","Spain",2,0,0
"356","2020-02-10","Singapore",45,7,0
"357","2020-02-10","Italy",3,0,0
"358","2020-02-10","India",3,0,0
"359","2020-02-10","United Kingdom",8,0,0
"360","2020-02-10","Vietnam",14,3,0
"361","2020-02-10","China",42708,3998,1017
"362","2020-02-11","United Arab Emirates",8,0,0
"363","2020-02-11","Australia",15,3,0
"364","2020-02-11","Belgium",1,0,0
"365","2020-02-11","Germany",14,0,0
"366","2020-02-11","Russia",2,0,0
"367","2020-02-11","France",11,0,0
"368","2020-02-11","Philippines",3,1,1
"369","2020-02-11","Finland",1,1,0
"370","2020-02-11","South Korea",28,3,0
"371","2020-02-11","Canada",7,1,0
"372","2020-02-11","Cambodia",1,0,0
"373","2020-02-11","Malaysia",18,3,0
"374","2020-02-11","United States",13,3,0
"375","2020-02-11","Nepal",1,0,0
"376","2020-02-11","Japan",26,2,0
"377","2020-02-11","Sweden",1,0,0
"378","2020-02-11","Sri Lanka",1,1,0
"379","2020-02-11","Thailand",32,10,0
"380","2020-02-11","Spain",2,0,0
"381","2020-02-11","Singapore",47,9,0
"382","2020-02-11","Italy",3,0,0
"383","2020-02-11","India",3,0,0
"384","2020-02-11","United Kingdom",8,0,0
"385","2020-02-11","Vietnam",15,3,0
"386","2020-02-11","China",44730,4742,1114
"387","2020-02-12","United Arab Emirates",8,0,0
"388","2020-02-12","Australia",15,5,0
"389","2020-02-12","Belgium",1,0,0
"390","2020-02-12","Germany",16,0,0
"391","2020-02-12","Russia",2,2,0
"392","2020-02-12","France",11,0,0
"393","2020-02-12","Philippines",3,1,1
"394","2020-02-12","Finland",1,1,0
"395","2020-02-12","South Korea",28,3,0
"396","2020-02-12","Canada",7,1,0
"397","2020-02-12","Cambodia",1,0,0
"398","2020-02-12","Malaysia",18,3,0
"399","2020-02-12","United States",13,3,0
"400","2020-02-12","Nepal",1,1,0
"401","2020-02-12","Japan",28,10,0
"402","2020-02-12","Sweden",1,0,0
"403","2020-02-12","Sri Lanka",1,1,0
"404","2020-02-12","Thailand",33,10,0
"405","2020-02-12","Spain",2,0,0
"406","2020-02-12","Singapore",50,15,0
"407","2020-02-12","Italy",3,0,0
"408","2020-02-12","India",3,0,0
"409","2020-02-12","United Kingdom",8,1,0
"410","2020-02-12","Vietnam",15,3,0
"411","2020-02-12","China",58839,5646,1260
"412","2020-02-13","United Arab Emirates",8,0,0
"413","2020-02-13","Australia",15,5,0
"414","2020-02-13","Belgium",1,0,0
"415","2020-02-13","Germany",16,1,0
"416","2020-02-13","Russia",2,2,0
"417","2020-02-13","France",11,0,0
"418","2020-02-13","Philippines",3,1,1
"419","2020-02-13","Finland",1,1,0
"420","2020-02-13","South Korea",28,7,0
"421","2020-02-13","Canada",7,1,0
"422","2020-02-13","Cambodia",1,0,0
"423","2020-02-13","Malaysia",19,3,0
"424","2020-02-13","United States",14,3,0
"425","2020-02-13","Nepal",1,1,0
"426","2020-02-13","Japan",29,11,1
"427","2020-02-13","Sweden",1,0,0
"428","2020-02-13","Sri Lanka",1,1,0
"429","2020-02-13","Thailand",33,10,0
"430","2020-02-13","Spain",2,0,0
"431","2020-02-13","Singapore",58,15,0
"432","2020-02-13","Italy",3,0,0
"433","2020-02-13","India",3,0,0
"434","2020-02-13","United Kingdom",9,1,0
"435","2020-02-13","Vietnam",15,5,0
"436","2020-02-13","China",63932,6728,1381
"437","2020-02-14","United Arab Emirates",8,3,0
"438","2020-02-14","Australia",15,5,0
"439","2020-02-14","Belgium",1,0,0
"440","2020-02-14","Germany",16,1,0
"441","2020-02-14","Russia",2,2,0
"442","2020-02-14","France",11,0,0
"443","2020-02-14","Philippines",3,1,1
"444","2020-02-14","Finland",1,1,0
"445","2020-02-14","South Korea",28,7,0
"446","2020-02-14","Canada",7,1,0
"447","2020-02-14","Cambodia",1,0,0
"448","2020-02-14","Malaysia",19,3,0
"449","2020-02-14","United States",15,3,0
"450","2020-02-14","Nepal",1,1,0
"451","2020-02-14","Japan",33,12,1
"452","2020-02-14","Sweden",1,0,0
"453","2020-02-14","Sri Lanka",1,1,0
"454","2020-02-14","Thailand",33,10,0
"455","2020-02-14","Spain",2,0,0
"456","2020-02-14","Singapore",67,17,0
"457","2020-02-14","Italy",3,0,0
"458","2020-02-14","India",3,0,0
"459","2020-02-14","United Kingdom",9,1,0
"460","2020-02-14","Vietnam",16,5,0
"461","2020-02-14","China",66575,8101,1524
"462","2020-02-15","United Arab Emirates",8,3,0
"463","2020-02-15","Egypt",1,0,0
"464","2020-02-15","Australia",15,5,0
"465","2020-02-15","Belgium",1,0,0
"466","2020-02-15","Germany",16,1,0
"467","2020-02-15","Russia",2,2,0
"468","2020-02-15","France",11,0,1
"469","2020-02-15","Philippines",3,1,1
"470","2020-02-15","Finland",1,1,0
"471","2020-02-15","South Korea",28,9,0
"472","2020-02-15","Canada",8,1,0
"473","2020-02-15","Cambodia",1,1,0
"474","2020-02-15","Malaysia",21,3,0
"475","2020-02-15","United States",15,3,0
"476","2020-02-15","Nepal",1,1,0
"477","2020-02-15","Japan",41,12,1
"478","2020-02-15","Sweden",1,0,0
"479","2020-02-15","Sri Lanka",1,1,0
"480","2020-02-15","Thailand",33,14,0
"481","2020-02-15","Spain",2,0,0
"482","2020-02-15","Singapore",67,17,0
"483","2020-02-15","Italy",3,0,0
"484","2020-02-15","India",3,0,0
"485","2020-02-15","United Kingdom",9,1,0
"486","2020-02-15","Vietnam",16,7,0
"487","2020-02-15","China",68584,9425,1666
"488","2020-02-16","United Arab Emirates",8,4,0
"489","2020-02-16","Egypt",1,0,0
"490","2020-02-16","Australia",15,5,0
"491","2020-02-16","Belgium",1,1,0
"492","2020-02-16","Germany",16,1,0
"493","2020-02-16","Russia",2,2,0
"494","2020-02-16","France",12,4,1
"495","2020-02-16","Philippines",3,1,1
"496","2020-02-16","Finland",1,1,0
"497","2020-02-16","South Korea",29,9,0
"498","2020-02-16","Canada",8,1,0
"499","2020-02-16","Cambodia",1,1,0
"500","2020-02-16","Malaysia",22,7,0
"501","2020-02-16","United States",15,3,0
"502","2020-02-16","Nepal",1,1,0
"503","2020-02-16","Japan",53,12,1
"504","2020-02-16","Sweden",1,0,0
"505","2020-02-16","Sri Lanka",1,1,0
"506","2020-02-16","Thailand",34,15,0
"507","2020-02-16","Spain",2,0,0
"508","2020-02-16","Singapore",72,18,0
"509","2020-02-16","Italy",3,0,0
"510","2020-02-16","India",3,2,0
"511","2020-02-16","United Kingdom",9,8,0
"512","2020-02-16","Vietnam",16,7,0
"513","2020-02-16","China",70637,10860,1772
"514","2020-02-17","United Arab Emirates",9,4,0
"515","2020-02-17","Egypt",1,0,0
"516","2020-02-17","Australia",15,5,0
"517","2020-02-17","Belgium",1,1,0
"518","2020-02-17","Germany",16,1,0
"519","2020-02-17","Russia",2,2,0
"520","2020-02-17","France",12,4,1
"521","2020-02-17","Philippines",3,1,1
"522","2020-02-17","Finland",1,1,0
"523","2020-02-17","South Korea",30,10,0
"524","2020-02-17","Canada",8,1,0
"525","2020-02-17","Cambodia",1,1,0
"526","2020-02-17","Malaysia",22,9,0
"527","2020-02-17","United States",15,3,0
"528","2020-02-17","Nepal",1,1,0
"529","2020-02-17","Japan",59,14,1
"530","2020-02-17","Sweden",1,0,0
"531","2020-02-17","Sri Lanka",1,1,0
"532","2020-02-17","Thailand",35,15,0
"533","2020-02-17","Spain",2,0,0
"534","2020-02-17","Singapore",77,19,0
"535","2020-02-17","Italy",3,0,0
"536","2020-02-17","India",3,2,0
"537","2020-02-17","United Kingdom",9,8,0
"538","2020-02-17","Vietnam",16,7,0
"539","2020-02-17","China",72528,12561,1870
"540","2020-02-18","United Arab Emirates",9,4,0
"541","2020-02-18","Egypt",1,0,0
"542","2020-02-18","Australia",15,5,0
"543","2020-02-18","Belgium",1,1,0
"544","2020-02-18","Germany",16,7,0
"545","2020-02-18","Russia",2,2,0
"546","2020-02-18","France",12,4,1
"547","2020-02-18","Philippines",3,1,1
"548","2020-02-18","Finland",1,1,0
"549","2020-02-18","South Korea",31,10,0
"550","2020-02-18","Canada",8,1,0
"551","2020-02-18","Cambodia",1,1,0
"552","2020-02-18","Malaysia",22,9,0
"553","2020-02-18","United States",15,3,0
"554","2020-02-18","Nepal",1,1,0
"555","2020-02-18","Japan",65,14,1
"556","2020-02-18","Sweden",1,0,0
"557","2020-02-18","Sri Lanka",1,1,0
"558","2020-02-18","Thailand",35,15,0
"559","2020-02-18","Spain",2,0,0
"560","2020-02-18","Singapore",81,29,0
"561","2020-02-18","Italy",3,0,0
"562","2020-02-18","India",3,2,0
"563","2020-02-18","United Kingdom",9,8,0
"564","2020-02-18","Vietnam",16,9,0
"565","2020-02-18","China",74276,14387,2006
"566","2020-02-19","United Arab Emirates",9,4,0
"567","2020-02-19","Egypt",1,0,0
"568","2020-02-19","Australia",15,5,0
"569","2020-02-19","Belgium",1,1,0
"570","2020-02-19","Germany",16,7,0
"571","2020-02-19","Russia",2,2,0
"572","2020-02-19","France",12,4,1
"573","2020-02-19","Philippines",3,1,1
"574","2020-02-19","Finland",1,1,0
"575","2020-02-19","South Korea",51,10,0
"576","2020-02-19","Canada",8,1,0
"577","2020-02-19","Cambodia",1,1,0
"578","2020-02-19","Malaysia",22,9,0
"579","2020-02-19","United States",15,3,0
"580","2020-02-19","Nepal",1,1,0
"581","2020-02-19","Japan",73,14,1
"582","2020-02-19","Sweden",1,0,0
"583","2020-02-19","Sri Lanka",1,1,0
"584","2020-02-19","Thailand",35,15,0
"585","2020-02-19","Spain",2,0,0
"586","2020-02-19","Singapore",84,34,0
"587","2020-02-19","Italy",3,0,0
"588","2020-02-19","India",3,2,0
"589","2020-02-19","United Kingdom",9,8,0
"590","2020-02-19","Vietnam",16,9,0
"591","2020-02-19","China",75101,16168,2121
"592","2020-02-20","United Arab Emirates",9,4,0
"593","2020-02-20","Egypt",1,0,0
"594","2020-02-20","Australia",15,5,0
"595","2020-02-20","Belgium",1,1,0
"596","2020-02-20","Germany",16,7,0
"597","2020-02-20","Russia",2,2,0
"598","2020-02-20","France",12,4,1
"599","2020-02-20","Philippines",3,1,1
"600","2020-02-20","Finland",1,1,0
"601","2020-02-20","South Korea",104,12,1
"602","2020-02-20","Canada",8,1,0
"603","2020-02-20","Cambodia",1,1,0
"604","2020-02-20","Malaysia",22,15,0
"605","2020-02-20","United States",15,3,0
"606","2020-02-20","Nepal",1,1,0
"607","2020-02-20","Japan",85,16,1
"608","2020-02-20","Sweden",1,0,0
"609","2020-02-20","Sri Lanka",1,1,0
"610","2020-02-20","Thailand",35,17,0
"611","2020-02-20","Spain",2,0,0
"612","2020-02-20","Singapore",85,37,0
"613","2020-02-20","Iran",5,0,2
"614","2020-02-20","Italy",3,0,0
"615","2020-02-20","India",3,3,0
"616","2020-02-20","United Kingdom",9,8,0
"617","2020-02-20","Vietnam",16,9,0
"618","2020-02-20","China",75993,18277,2239
"619","2020-02-21","United Arab Emirates",9,4,0
"620","2020-02-21","Australia",15,5,0
"621","2020-02-21","Belgium",1,1,0
"622","2020-02-21","Germany",16,7,0
"623","2020-02-21","Russia",2,2,0
"624","2020-02-21","France",12,4,1
"625","2020-02-21","Philippines",3,1,1
"626","2020-02-21","Finland",1,1,0
"627","2020-02-21","South Korea",204,12,2
"628","2020-02-21","Canada",8,1,0
"629","2020-02-21","Cambodia",1,1,0
"630","2020-02-21","Malaysia",22,15,0
"631","2020-02-21","United States",15,3,0
"632","2020-02-21","Nepal",1,1,0
"633","2020-02-21","Japan",93,16,1
"634","2020-02-21","Sweden",1,0,0
"635","2020-02-21","Sri Lanka",1,1,0
"636","2020-02-21","Thailand",35,17,0
"637","2020-02-21","Spain",2,0,0
"638","2020-02-21","Singapore",85,37,0
"639","2020-02-21","Iran",18,0,2
"640","2020-02-21","Italy",3,0,0
"641","2020-02-21","India",3,3,0
"642","2020-02-21","United Kingdom",9,8,0
"643","2020-02-21","Vietnam",16,9,0
"644","2020-02-21","China",76392,20672,2348
"645","2020-02-22","United Arab Emirates",13,4,0
"646","2020-02-22","Australia",15,5,0
"647","2020-02-22","Belgium",1,1,0
"648","2020-02-22","Germany",16,7,0
"649","2020-02-22","Russia",2,2,0
"650","2020-02-22","France",12,4,1
"651","2020-02-22","Philippines",3,1,1
"652","2020-02-22","Finland",1,1,0
"653","2020-02-22","South Korea",433,18,3
"654","2020-02-22","Canada",9,1,0
"655","2020-02-22","Cambodia",1,1,0
"656","2020-02-22","Lebanon",1,0,0
"657","2020-02-22","Malaysia",22,15,0
"658","2020-02-22","United States",34,3,0
"659","2020-02-22","Nepal",1,1,0
"660","2020-02-22","Japan",105,16,1
"661","2020-02-22","Sweden",1,0,0
"662","2020-02-22","Sri Lanka",1,1,0
"663","2020-02-22","Thailand",35,17,0
"664","2020-02-22","Spain",2,0,0
"665","2020-02-22","Singapore",89,49,0
"666","2020-02-22","Iran",28,0,4
"667","2020-02-22","Italy",33,0,2
"668","2020-02-22","India",3,3,0
"669","2020-02-22","United Kingdom",9,8,0
"670","2020-02-22","Vietnam",16,9,0
"671","2020-02-22","China",76846,22907,2445
"672","2020-02-23","United Arab Emirates",13,4,0
"673","2020-02-23","Australia",17,5,0
"674","2020-02-23","Belgium",1,1,0
"675","2020-02-23","Germany",16,7,0
"676","2020-02-23","Russia",2,2,0
"677","2020-02-23","France",12,4,1
